region,annee,mois,type_risque,nb_catastrophes,code_region,nom_region
27,2002,8,inondation,4,27,Bourgogne-Franche-Comté
27,2002,9,inondation,5,27,Bourgogne-Franche-Comté
27,2002,11,inondation,54,27,Bourgogne-Franche-Comté
27,2002,11,mouvement_terrain,1,27,Bourgogne-Franche-Comté
27,2003,1,mouvement_terrain,1,27,Bourgogne-Franche-Comté
27,2003,2,inondation,3,27,Bourgogne-Franche-Comté
27,2003,2,seisme,4,27,Bourgogne-Franche-Comté
27,2003,6,inondation,5,27,Bourgogne-Franche-Comté
27,2003,7,secheresse,750,27,Bourgogne-Franche-Comté
27,2003,8,inondation,1,27,Bourgogne-Franche-Comté
27,2003,12,inondation,95,27,Bourgogne-Franche-Comté
27,2004,1,inondation,4,27,Bourgogne-Franche-Comté
