region,annee,mois,type_risque,nb_catastrophes,code_region,nom_region
27,2000,7,inondation,10,27,Bourgogne-Franche-Comté
27,2000,9,inondation,6,27,Bourgogne-Franche-Comté
27,2000,11,inondation,76,27,Bourgogne-Franche-Comté
27,2001,3,inondation,244,27,Bourgogne-Franche-Comté
27,2001,3,mouvement_terrain,1,27,Bourgogne-Franche-Comté
27,2001,5,inondation,12,27,Bourgogne-Franche-Comté
27,2001,5,mouvement_terrain,1,27,Bourgogne-Franche-Comté
27,2001,7,inondation,35,27,Bourgogne-Franche-Comté
27,2001,8,inondation,14,27,Bourgogne-Franche-Comté
27,2001,12,inondation,51,27,Bourgogne-Franche-Comté
27,2002,1,inondation,2,27,Bourgogne-Franche-Comté
27,2002,6,inondation,4,27,Bourgogne-Franche-Comté
